Artist,Title,Air Time_x,Letter_x,First Word,Duration_x,Year,Air Time_y,Letter_y,Duration_y
Los Lobos,"One Time, One Night",2018-12-04 17:55:00,O,One,5,1987,2016-12-10 07:11:00,O,5
The Police,One World,2018-12-04 18:05:00,O,One,6,1981,2016-12-10 07:36:00,O,5
The Smithereens,Only A Memory,2018-12-04 18:19:00,O,Only,3,1988,2016-12-10 07:41:00,O,5
Yaz,Only You,2018-12-04 18:37:00,O,Only,1,1982,2016-12-10 08:04:00,O,4
Yaz,Only You,2018-12-04 18:38:00,O,Only,3,1982,2016-12-10 08:04:00,O,4
R. E. M.,Orange Crush,2018-12-04 19:04:00,O,Orange,5,1988,2016-12-10 08:57:00,O,4
Enya,Orinocco Flow,2018-12-04 19:09:00,O,Orinocco,4,1988,2016-12-10 09:24:00,O,5
Madness,Our House,2018-12-04 19:30:00,O,Our,9,1982,2016-12-10 09:42:00,O,5
Bruce Springsteen,Out In The Street,2018-12-04 19:44:00,O,Out,7,1980,2016-12-10 09:53:00,O,5
Yes,Owner Of A Lonely Heart,2018-12-04 20:20:00,O,Owner,4,1983,2016-12-10 10:53:00,O,4
James McMurtry,Painting By Numbers,2018-12-04 20:37:00,P,Painting,6,1989,2016-12-10 11:19:00,P,5
Tears For Fears,Pale Shelter,2018-12-04 20:48:00,P,Pale,4,1983,2016-12-10 11:24:00,P,6
The Smiths,Panic,2018-12-04 21:09:00,P,Panic,2,1986,2016-12-10 11:33:00,P,2
B-52's,Party Out Of Bounds,2018-12-04 22:10:00,P,Party,3,1980,2016-12-10 13:00:00,P,4
Lucinda Williams,Passionate Kisses,2018-12-04 22:26:00,P,Passionate,2,1988,2016-12-10 13:17:00,P,3
David Lindley,Pay The Man,2018-12-04 22:39:00,P,Pay,3,1981,2016-12-10 13:28:00,P,4
"10,000 Maniacs",Peace Train,2018-12-04 22:50:00,P,Peace,5,1987,2016-12-10 13:53:00,P,3
Depeche Mode,People Are People,2018-12-04 23:15:00,P,People,3,1982,2016-12-10 14:37:00,P,5
The Jim Carroll Band,People Who Died,2018-12-04 23:18:00,P,People,6,1980,2016-12-10 15:11:00,P,8
Lloyd Cole & The Commotions,Perfect Skin,2018-12-04 23:31:00,P,Perfect,3,1984,2016-12-10 15:34:00,P,3
Camper Van Beethoven,Photograph,2018-12-05 00:04:00,P,Photograph,4,1987,2016-12-10 16:30:00,P,3
Camper Van Beethoven,Pictures Of Matchstick Men,2018-12-05 00:28:00,P,Pictures,5,1989,2016-12-10 17:00:00,P,3
The Cure,Pictures Of You,2018-12-05 00:33:00,P,Pictures,7,1989,2016-12-10 17:08:00,P,3
Afrika Bambaata & Soul Sonic Force,Planet Rock,2018-12-05 01:17:00,P,Planet,8,1986,2016-12-10 17:55:00,P,0
Rockpile,Play That Fast Thing One More Time,2018-12-05 01:35:00,P,Play,4,1980,2016-12-10 18:08:00,P,5
Bruce Springsteen,Point Blank,2018-12-05 02:02:00,P,Point,6,1980,2016-12-10 19:04:00,P,8
ABC,Poison Arrow,2018-12-05 02:12:00,P,Poison,6,1982,2016-12-10 19:15:00,P,5
The Clash,Police On My Back,2018-12-05 02:18:00,P,Police,3,1980,2016-12-10 19:33:00,P,4
Prince & The Revolution,Pop Life,2018-12-05 02:34:00,P,Pop,4,1985,2016-12-10 20:03:00,P,4
R. E. M.,Pop Song 89,2018-12-05 02:38:00,P,Pop,4,1988,2016-12-10 20:11:00,P,3
Midnight Oil,Power And Passion,2018-12-05 03:00:00,P,Power,6,1982,2016-12-10 20:52:00,P,7
Eric Clapton,Pretending,2018-12-05 03:42:00,P,Pretending,5,1989,2016-12-10 21:21:00,P,4
Psychedelic Furs,Pretty In Pink,2018-12-05 03:52:00,P,Pretty,4,1981,2016-12-10 21:36:00,P,6
R. E. M.,Pretty Persuasion,2018-12-05 03:56:00,P,Pretty,4,1984,2016-12-10 21:49:00,P,6
Stevie Ray Vaughan,Pride And Joy,2018-12-05 04:04:00,P,Pride,4,1986,2016-12-10 22:12:00,P,5
B-52's,Private Idaho,2018-12-05 04:32:00,P,Private,4,1980,2016-12-10 22:36:00,P,3
The Pretenders,Private Life,2018-12-05 04:49:00,P,Private,6,1980,2016-12-10 22:39:00,P,8
World Party,Private Revolution,2018-12-05 05:01:00,P,Private,4,1986,2016-12-10 22:47:00,P,4
Simple Minds,Promised You A Miracle,2018-12-05 05:15:00,P,Promised,4,1982,2016-12-10 22:51:00,P,4
Naked Eyes,Promises Promises,2018-12-05 05:19:00,P,Promises,3,1983,2016-12-10 22:55:00,P,4
Grace Jones,Pull Up To The Bumper,2018-12-05 05:38:00,P,Pull,4,1981,2016-12-10 23:18:00,P,4
Squeeze,Pulling Mussels From A Shell,2018-12-05 05:42:00,P,Pulling,4,1980,2016-12-10 23:22:00,P,4
M/A/R/R/S,Pump Up The Volume,2018-12-05 05:52:00,P,Pump,4,1987,2016-12-10 23:29:00,P,4
Dead Milkmen,Punk Rock Girl,2018-12-05 05:56:00,P,Punk,3,1988,2016-12-10 23:33:00,P,4
Prince,Purple Rain,2018-12-05 05:59:00,P,Purple,9,1989,2016-12-10 23:51:00,P,9
Garland Jeffreys,R.o.c.k.,2018-12-05 06:56:00,R,R,4,1981,2016-12-11 00:52:00,R,4
R. E. M.,Radio Free Europe,2018-12-05 07:08:00,R,Radio,5,1981,2016-12-11 01:17:00,R,4
Queen,Radio Ga Ga,2018-12-05 07:13:00,R,Radio,6,1984,2016-12-11 01:21:00,R,5
Tom Waits,Rain Dogs,2018-12-05 07:53:00,R,Rain,3,1985,2016-12-11 01:58:00,R,4
John Mellencamp,Rain On The Scarecrow,2018-12-05 08:01:00,R,Rain,4,1985,2016-12-11 02:12:00,R,4
Bruce Springsteen,Ramrod,2018-12-05 08:30:00,R,Ramrod,4,1980,2016-12-11 02:54:00,R,4
The English Beat,Ranking Full Stop,2018-12-05 08:34:00,R,Ranking,4,1980,2016-12-11 03:11:00,R,3
Blondie,Rapture,2018-12-05 08:38:00,R,Rapture,7,1980,2016-12-11 03:14:00,R,6
Prince,Raspberry Beret,2018-12-05 08:45:00,R,Raspberry,7,1985,2016-12-11 03:27:00,R,4
Steel Pulse,Ravers,2018-12-05 08:55:00,R,Ravers,4,1982,2016-12-11 03:37:00,R,3
Peter Gabriel,Red Rain,2018-12-05 10:05:00,R,Red,5,1987,2016-12-11 05:07:00,R,6
UB40,Red Red Wine,2018-12-05 10:10:00,R,Red,5,1983,2016-12-11 05:13:00,R,3
The Blasters,Red Rose,2018-12-05 10:15:00,R,Red,3,1983,2016-12-11 05:16:00,R,3
Bob Marley & The Wailers,Redemption Song,2018-12-05 10:35:00,R,Redemption,4,1980,2016-12-11 05:34:00,R,3
Frankie Goes To Hollywood,Relax,2018-12-05 10:57:00,R,Relax,4,1983,2016-12-11 06:31:00,R,7
XTC,Respectable Street,2018-12-05 11:28:00,R,Respectable,3,1980,2016-12-11 07:21:00,R,3
Jerry Harrison,Rev It Up,2018-12-05 11:31:00,R,Rev,4,1988,2016-12-11 07:44:00,R,4
Shawn Colvin,Ricochet In Time,2018-12-05 11:59:00,R,Ricochet,4,1989,2016-12-11 08:48:00,R,3
Wall Of Voodoo,Ring of Fire,2018-12-05 12:18:00,R,Ring,4,1980,2016-12-11 10:31:00,R,5
Public Image Ltd.,Rise,2018-12-05 12:39:00,R,Rise,8,1985,2016-12-11 10:45:00,R,8
Stevie Ray Vaughan,Riviera Paradise,2018-12-05 13:01:00,R,Riviera,8,1989,2016-12-11 11:10:00,R,9
Talking Heads,Road to Nowhere,2018-12-05 13:09:00,R,Road,6,1985,2016-12-11 11:19:00,R,6
B-52's,Roam,2018-12-05 13:19:00,R,Roam,7,1989,2016-12-11 11:46:00,R,7
AC/DC,Rock And Roll Ain't Noise Pollution,2018-12-05 13:36:00,R,Rock,4,1980,2016-12-11 12:17:00,R,4
The Clash,Rock The Casbah,2018-12-05 14:29:00,R,Rock,4,1981,2016-12-11 13:31:00,R,5
Stray Cats,Rock This Town,2018-12-05 14:33:00,R,Rock,6,1983,2016-12-11 13:36:00,R,3
Neil Young,Rockin' In The Free World,2018-12-05 14:59:00,R,Rockin',5,1989,2016-12-11 14:05:00,R,6
Dire Straits,Romeo & Juliet,2018-12-05 15:59:00,R,Romeo,6,1984,2016-12-11 15:37:00,R,6
Pete Townshend,Rough Boys,2018-12-05 16:32:00,R,Rough,4,1980,2016-12-11 16:19:00,R,4
Slade,Run Runaway,2018-12-05 17:10:00,R,Run,7,1983,2016-12-11 18:00:00,R,4
Tom Petty,Runnin' Down A Dream,2018-12-05 17:30:00,R,Runnin',4,1989,2016-12-11 18:24:00,R,5
Kate Bush,Running Up That Hill,2018-12-05 17:38:00,R,Running,8,1986,2016-12-11 18:44:00,R,5
Rickie Lee Jones,Satellites,2018-12-05 19:04:00,S,Satellites,7,1989,2016-12-11 20:48:00,S,7
The English Beat,Save It For Later,2018-12-05 19:29:00,S,Save,3,1982,2016-12-11 21:15:00,S,5
The Fixx,Saved By Zero,2018-12-05 19:42:00,S,Saved,4,1982,2016-12-11 21:30:00,S,4
De La Soul,Say No Go,2018-12-05 20:09:00,S,Say,7,1989,2016-12-11 21:55:00,S,5
Stevie Ray Vaughan,Say What,2018-12-05 20:20:00,S,Say,7,1985,2016-12-11 22:03:00,S,5
Johnny Clegg & Savuka,Scatterlings Of Africa,2018-12-05 20:51:00,S,Scatterlings,4,1987,2016-12-11 22:41:00,S,3
The Honeydrippers,Sea of Love,2018-12-05 21:25:00,S,Sea,3,1984,2016-12-11 23:14:00,S,3
Public Image Ltd.,Seattle,2018-12-05 21:28:00,S,Seattle,4,1987,2016-12-11 23:32:00,S,4
Bob Mould,See A Little Light,2018-12-05 21:53:00,S,See,4,1989,2016-12-12 00:08:00,S,4
X,See How We Are,2018-12-05 21:57:00,S,See,4,1987,2016-12-12 00:15:00,S,4
Third World,Sense Of Purpose,2018-12-05 22:30:00,S,Sense,5,1985,2016-12-12 00:50:00,S,5
XTC,Senses Working Overtime,2018-12-05 22:35:00,S,Senses,6,1982,2016-12-12 00:55:00,S,5
R. E. M.,Seven Chinese Brothers,2018-12-05 23:08:00,S,Seven,6,1984,2016-12-12 01:34:00,S,4
Rosanne Cash,Seven Year Ache,2018-12-05 23:20:00,S,Seven,3,1981,2016-12-12 01:46:00,S,3
Beastie Boys,Shake Your Rump,2018-12-06 00:21:00,S,Shake,3,1989,2016-12-12 03:30:00,S,4
Los Lobos,Shakin' Shakin' Shakes,2018-12-06 00:31:00,S,Shakin',4,1987,2016-12-12 03:46:00,S,4
The Stone Roses,She Bangs The Drums,2018-12-06 00:56:00,S,She,4,1989,2016-12-12 04:28:00,S,3
Fine Young Cannibals,She Drives Me Crazy,2018-12-06 01:07:00,S,She,6,1989,2016-12-12 04:47:00,S,4
The Cult,She Sells Sanctuary,2018-12-06 01:22:00,S,She,5,1985,2016-12-12 05:12:00,S,4
Gary Myrick & The Figures,She Talks In Stereo,2018-12-06 01:27:00,S,She,4,1980,2016-12-12 05:16:00,S,4
David Lindley,She Took Off My Romeos,2018-12-06 01:34:00,S,She,3,1981,2016-12-12 05:25:00,S,4
Bruce Springsteen,Sherry Darling,2018-12-06 01:56:00,S,Sherry,4,1980,2016-12-12 05:51:00,S,4
Bodeans,She's A Runaway,2018-12-06 02:15:00,S,She's,4,1986,2016-12-12 06:03:00,S,6
Billy Bragg,She's Got A New Spell,2018-12-06 02:40:00,S,She's,3,1988,2016-12-12 06:28:00,S,3
Tracy Chapman,She's Got Her Ticket,2018-12-06 02:43:00,S,She's,7,1988,2016-12-12 06:38:00,S,3
Lyle Lovett,She's No Lady,2018-12-06 02:54:00,S,She's,3,1987,2016-12-12 06:47:00,S,6
The Rolling Stones,She's So Cold,2018-12-06 02:57:00,S,She's,4,1980,2016-12-12 06:59:00,S,4
Peter Gabriel,Shock The Monkey,2018-12-06 03:31:00,S,Shock,5,1982,2016-12-12 08:22:00,S,6
Richard & Linda Thompson,Shoot Out The Lights,2018-12-06 03:36:00,S,Shoot,5,1982,2016-12-12 08:31:00,S,7
Shawn Colvin,Shotgun Down The Avalanche,2018-12-06 03:59:00,S,Shotgun,4,1989,2016-12-12 08:53:00,S,5
The Clash,Should I Stay Or Should I Go?,2018-12-06 04:03:00,S,Should,3,1982,2016-12-12 08:58:00,S,4
Tears For Fears,Shout,2018-12-06 04:06:00,S,Shout,9,1984,2016-12-12 09:02:00,S,7
The Pretenders,Show Me,2018-12-06 04:18:00,S,Show,4,1983,2016-12-12 09:22:00,S,4
Prince,Sign O' The Times,2018-12-06 04:39:00,S,Sign,3,1987,2016-12-12 09:59:00,S,5
Eurythmics,Sisters Are Doin' It For Themselves,2018-12-06 05:29:00,S,Sisters,6,1985,2016-12-12 11:27:00,S,6
Yaz,Situation,2018-12-06 05:39:00,S,Situation,6,1982,2016-12-12 11:47:00,S,8
Dire Straits,Skateaway,2018-12-06 05:54:00,S,Skateaway,6,1980,2016-12-12 12:04:00,S,7
Bryan Ferry,Slave To Love,2018-12-06 06:16:00,S,Slave,9,1985,2016-12-12 12:46:00,S,4
Grace Jones,Slave To The Rhythm,2018-12-06 06:25:00,S,Slave,4,1985,2016-12-12 12:50:00,S,6
Peter Gabriel,Sledgehammer,2018-12-06 06:29:00,S,Sledgehammer,5,1986,2016-12-12 12:56:00,S,6
Dave Edmunds,Slipping Away,2018-12-06 06:59:00,S,Slipping,5,1983,2016-12-12 13:33:00,S,5
John Hiatt,Slow Turning,2018-12-06 07:24:00,S,Slow,3,1988,2016-12-12 13:48:00,S,4
Robert Cray,Smoking Gun,2018-12-06 08:03:00,S,Smoking,6,1986,2016-12-12 14:18:00,S,5
Love And Rockets,So Alive,2018-12-06 08:41:00,S,So,4,1989,2016-12-12 14:38:00,S,3
Dire Straits,So Far Away,2018-12-06 08:53:00,S,So,5,1985,2016-12-12 14:55:00,S,5
Black Uhuru,Solidarity,2018-12-06 09:27:00,S,Solidarity,4,1983,2016-12-12 16:31:00,S,4
Suzanne Vega,Solitude Standing,2018-12-06 09:31:00,S,Solitude,4,1987,2016-12-12 16:41:00,S,5
Jackson Browne,Somebody's Baby,2018-12-06 10:01:00,S,Somebody's,4,1982,2016-12-12 17:32:00,S,4
Steve Earle,Someday,2018-12-06 10:10:00,S,Someday,4,1986,2016-12-12 17:44:00,S,4
Marshall Crenshaw,"Someday, Someway",2018-12-06 10:14:00,S,Someday,3,1982,2016-12-12 18:00:00,S,3
Crowded House,Something So Strong,2018-12-06 10:46:00,S,Something,3,1986,2016-12-12 18:52:00,S,3
R. E. M.,South Central Rain,2018-12-06 11:59:00,S,South,4,1985,2016-12-12 21:31:00,S,3
Crosby Stills & Nash,Southern Cross,2018-12-06 12:07:00,S,Southern,6,1982,2016-12-12 21:51:00,S,5
Gilberto Gil,Soy Loco Por Ti America,2018-12-06 12:13:00,S,Soy,5,1987,2016-12-12 22:26:00,S,5
Steve Winwood,Spanish Dancer,2018-12-06 12:31:00,S,Spanish,5,1980,2016-12-12 22:42:00,S,6
The Police,Spirits In The Material World,2018-12-06 13:13:00,S,Spirits,4,1981,2016-12-12 23:23:00,S,3
Black Uhuru,Sponji Reggae,2018-12-06 13:22:00,S,Sponji,4,1981,2016-12-12 23:38:00,S,5
Teena Marie,Square Biz,2018-12-06 13:36:00,S,Square,8,1981,2016-12-12 23:43:00,S,7
R. E. M.,Stand,2018-12-06 13:51:00,S,Stand,5,1988,2016-12-13 00:21:00,S,3
Rick James and The Temptations,Standing On The Top,2018-12-06 14:08:00,S,Standing,12,1982,2016-12-13 00:40:00,S,10
The Rolling Stones,Start Me Up,2018-12-06 14:40:00,S,Start,3,1989,2016-12-13 01:20:00,S,3
The Blue Nile,Stay,2018-12-06 15:04:00,S,Stay,7,1984,2016-12-13 02:01:00,S,4
Talking Heads,Stay Up Late,2018-12-06 15:11:00,S,Stay,4,1985,2016-12-13 02:30:00,S,3
Joe Jackson,Steppin Out,2018-12-06 15:20:00,S,Steppin,7,1982,2016-12-13 03:29:00,S,4
Stevie Nicks,Stop Draggin' My Heart Around,2018-12-06 16:12:00,S,Stop,4,1981,2016-12-13 04:39:00,S,4
The Pretenders,Stop Your Sobbing,2018-12-06 16:36:00,S,Stop,3,1980,2016-12-13 04:57:00,S,3
The Buzzcocks,Ever Fallen In Love?,2018-12-06 16:56:00,E,Ever,3,1980,2016-12-03 22:22:00,E,2
Galaxie 500,Strange,2018-12-06 16:59:00,S,Strange,3,1989,2016-12-13 05:19:00,S,4
B-52's,Summer Of Love,2018-12-06 18:10:00,S,Summer,5,1986,2016-12-13 09:02:00,S,4
The Rolling Stones,Summer Romance,2018-12-06 18:15:00,S,Summer,3,1980,2016-12-13 09:16:00,S,3
U2,"Sunday, Bloody Sunday",2018-12-06 18:54:00,S,Sunday,6,1983,2016-12-13 10:40:00,S,5
Don Henley,Sunset Grill,2018-12-06 19:04:00,S,Sunset,6,1984,2016-12-13 11:01:00,S,6
Bob Mould,Sunspots,2018-12-06 19:10:00,S,Sunspots,2,1989,2016-12-13 11:16:00,S,2
Rick James,Super Freak,2018-12-06 19:12:00,S,Super,5,1981,2016-12-13 11:30:00,S,4
R. E. M.,Superman,2018-12-06 19:21:00,S,Superman,2,1986,2016-12-13 11:39:00,S,2
Phil Collins,Sussudio,2018-12-06 19:45:00,S,Sussudio,5,1985,2016-12-13 13:11:00,S,5
Talking Heads,Swamp,2018-12-06 19:55:00,S,Swamp,5,1983,2016-12-13 13:21:00,S,5
Eurythmics,Sweet Dreams (Are Made Of This),2018-12-06 20:20:00,S,Sweet,3,1983,2016-12-13 13:39:00,S,4
Cowboy Junkies,Sweet Jane,2018-12-06 20:27:00,S,Sweet,5,1988,2016-12-13 14:06:00,S,4
The Kings,Switchin' To Glide / This Beat Goes On,2018-12-06 21:00:00,S,Switchin',5,1980,2016-12-13 15:08:00,S,7
The Police,Synchronicity II,2018-12-06 21:16:00,S,Synchronicity,5,1983,2016-12-13 15:21:00,S,5
Soft Cell,Tainted Love,2018-12-06 21:30:00,T,Tainted,2,1981,2016-12-13 15:36:00,T,2
Keith Richards,Take It So Hard,2018-12-06 21:51:00,T,Take,3,1988,2016-12-13 16:20:00,T,3
Talking Heads,Take Me To The River,2018-12-06 21:54:00,T,Take,5,1981,2016-12-13 17:07:00,T,9
Prince & The Revolution,Take Me With U,2018-12-06 21:59:00,T,Take,4,1984,2016-12-13 17:16:00,T,4
a-ha,Take On Me,2018-12-06 22:07:00,T,Take,6,1985,2016-12-13 17:30:00,T,4
Camper Van Beethoven,Take The Skinheads Bowling,2018-12-06 22:17:00,T,Take,3,1985,2016-12-13 17:53:00,T,3
R. E. M.,Talk About the Passion,2018-12-06 22:40:00,T,Talk,4,1981,2016-12-13 18:14:00,T,3
The Pretenders,Talk Of The Town,2018-12-06 22:48:00,T,Talk,2,1980,2016-12-13 18:20:00,T,3
Talk Talk,Talk Talk,2018-12-06 22:50:00,T,Talk,4,1982,2016-12-13 18:23:00,T,3
Tracy Chapman,Talkin' Bout A Revolution,2018-12-06 23:10:00,T,Talkin',3,1988,2016-12-13 18:30:00,T,3
Steve Winwood,Talking Back To The Night,2018-12-06 23:13:00,T,Talking,5,1981,2016-12-13 18:36:00,T,8
Rockpile,"Teacher, Teacher",2018-12-07 00:00:00,T,Teacher,2,1980,2016-12-13 19:27:00,T,3
Richard Thompson,Tear Stained Letter,2018-12-07 00:05:00,T,Tear,4,1983,2016-12-13 19:35:00,T,5
The English Beat,Tears Of A Clown,2018-12-07 00:17:00,T,Tears,3,1980,2016-12-13 19:43:00,T,2
Sonic Youth,Teenage Riot,2018-12-07 00:30:00,T,Teenage,7,1988,2016-12-13 19:53:00,T,7
New Order,Temptation,2018-12-07 01:37:00,T,Temptation,7,1982,2016-12-13 21:06:00,T,10
Squeeze,Tempted,2018-12-07 01:44:00,T,Tempted,6,1986,2016-12-13 21:21:00,T,5
General Public,Tenderness,2018-12-07 01:55:00,T,Tenderness,4,1984,2016-12-13 21:31:00,T,3
Stevie Ray Vaughan,Texas Flood,2018-12-07 02:12:00,T,Texas,6,1986,2016-12-13 22:42:00,T,6
John Hiatt,Thank You Girl,2018-12-07 02:19:00,T,Thank,4,1987,2016-12-13 23:15:00,T,4
Stevie Wonder,That Girl,2018-12-07 02:35:00,T,That,5,1980,2016-12-13 23:25:00,T,5
Jackson Browne,That Girl Could Sing,2018-12-07 02:40:00,T,That,5,1980,2016-12-13 23:30:00,T,5
Peter Gabriel,That Voice Again,2018-12-07 03:00:00,T,That,5,1986,2016-12-13 23:55:00,T,5
Prince,The Ballad of Dorothy Parker,2018-12-07 04:06:00,T,The,4,1987,2016-12-14 01:19:00,T,4
The The,The Beat(en) Generation,2018-12-07 04:16:00,T,The,3,1989,2016-12-14 01:53:00,T,3
Sheila Hylton,The Bed's Too Big Without You,2018-12-07 04:24:00,T,The,4,1981,2016-12-14 01:56:00,T,3
Big Audio Dynamite,The Bottom Line.,2018-12-07 05:09:00,T,The,3,1985,2016-12-14 02:33:00,T,6
Paul Simon,The Boy In The Bubble,2018-12-07 05:12:00,T,The,5,1986,2016-12-14 02:44:00,T,4
Don Henley,The Boys Of Summer,2018-12-07 05:24:00,T,The,5,1984,2016-12-14 02:54:00,T,5
Kurtis Blow,The Breaks,2018-12-07 05:29:00,T,The,4,1983,2016-12-14 02:59:00,T,4
Greg Kihn,The Breakup Song,2018-12-07 05:33:00,T,The,3,1981,2016-12-14 03:03:00,T,3
The Clash,The Call Up,2018-12-07 05:41:00,T,The,5,1980,2016-12-14 03:06:00,T,6
Echo & The Bunnymen,The Cutter,2018-12-07 06:28:00,T,The,4,1983,2016-12-14 04:45:00,T,4
Midnight Oil,The Dead Heart,2018-12-07 07:01:00,T,The,5,1987,2016-12-14 04:55:00,T,5
Warren Zevon,The Envoy,2018-12-07 07:36:00,T,The,5,1982,2016-12-14 05:44:00,T,4
Steve Winwood,The Finer Things,2018-12-07 07:53:00,T,The,6,1980,2016-12-14 06:00:00,T,6
Timbuk 3,The Future's So Bright (I Gotta Wear Shades),2018-12-07 08:13:00,T,The,4,1986,2016-12-14 06:21:00,T,4
Psychedelic Furs,The Ghost In You,2018-12-07 08:25:00,T,The,4,1984,2016-12-14 06:31:00,T,7
Donald Fagen,The Goodbye Look,2018-12-07 08:54:00,T,The,5,1982,2016-12-14 07:00:00,T,5
The Smiths,The Headmaster Ritual,2018-12-07 09:14:00,T,The,5,1985,2016-12-14 07:38:00,T,5
John Lee Hooker,The Healer,2018-12-07 09:19:00,T,The,7,1989,2016-12-14 07:43:00,T,8
Stevie Ray Vaughan,The House Is Rockin',2018-12-07 09:32:00,T,The,2,1989,2016-12-14 08:13:00,T,3
Echo & The Bunnymen,The Killing Moon,2018-12-07 10:08:00,T,The,5,1984,2016-12-14 08:51:00,T,5
ABC,The Look Of Love (part One),2018-12-07 11:00:00,T,The,4,1982,2016-12-14 10:15:00,T,3
The Cure,The Love Cats,2018-12-07 11:07:00,T,The,6,1983,2016-12-14 10:22:00,T,4
The Clash,The Magnificent Seven,2018-12-07 11:22:00,T,The,6,1980,2016-12-14 10:35:00,T,5
Daniel Lanois,The Maker,2018-12-07 11:32:00,T,The,5,1989,2016-12-14 10:40:00,T,4
Grandmaster Flash & The Furious 5,The Message,2018-12-07 12:38:00,T,The,7,1982,2016-12-14 10:56:00,T,7
John Fogerty,The Old Man Down The Road,2018-12-07 13:17:00,T,The,3,1984,2016-12-14 12:52:00,T,4
R. E. M.,The One I Love,2018-12-07 13:20:00,T,The,5,1987,2016-12-14 12:59:00,T,4
INXS,The One Thing,2018-12-07 13:29:00,T,The,3,1982,2016-12-14 13:03:00,T,3
New Order,The Perfect Kiss,2018-12-07 13:55:00,T,The,5,1985,2016-12-14 13:30:00,T,5
Re-Flex,The Politics Of Dancing,2018-12-07 14:07:00,T,The,6,1983,2016-12-14 13:45:00,T,4
Rickie Lee Jones,The Real End,2018-12-07 14:45:00,T,The,5,1984,2016-12-14 14:15:00,T,7
John Mellencamp,The Real Life,2018-12-07 14:50:00,T,The,5,1987,2016-12-14 14:22:00,T,3
U2,The Refugee,2018-12-07 15:00:00,T,The,3,1983,2016-12-14 14:42:00,T,4
Bruce Springsteen,The River,2018-12-07 15:08:00,T,The,6,1980,2016-12-14 15:07:00,T,5
Robert Earl Keen,The Road Goes On Forever,2018-12-07 15:14:00,T,The,5,1989,2016-12-14 15:24:00,T,5
Men Without Hats,The Safety Dance,2018-12-07 15:24:00,T,The,3,1980,2016-12-14 15:47:00,T,3
Dead Milkmen,The Thing That Only Eats Hippies,2018-12-07 16:26:00,T,The,5,1986,2016-12-14 17:17:00,T,3
Blondie,The Tide Is High,2018-12-07 16:35:00,T,The,7,1980,2016-12-14 17:30:00,T,5
Bruce Springsteen,The Ties That Bind,2018-12-07 16:42:00,T,The,3,1980,2016-12-14 17:35:00,T,5
Tom Petty & The Heartbreakers,The Waiting,2018-12-07 17:24:00,T,The,6,1981,2016-12-14 18:00:00,T,4
The Cure,The Walk,2018-12-07 17:30:00,T,The,4,1983,2016-12-14 18:04:00,T,5
The Call,The Walls Came Down,2018-12-07 17:34:00,T,The,3,1983,2016-12-14 18:13:00,T,5
Bruce Hornsby & The Range,The Way It Is,2018-12-07 17:48:00,T,The,4,1987,2016-12-14 18:29:00,T,6
Richard Thompson,The Wrong Heartbeat,2018-12-07 18:31:00,T,The,3,1983,2016-12-14 19:36:00,T,4
The Smiths,There Is A Light That Never Goes Out,2018-12-07 18:45:00,T,There,4,1983,2016-12-14 20:15:00,T,4
Eurythmics,There Must Be An Angel (Playing With My Heart),2018-12-07 18:54:00,T,There,6,1985,2016-12-14 20:23:00,T,6
John Hiatt,Thing Called Love,2018-12-07 19:44:00,T,Thing,4,1987,2016-12-14 21:26:00,T,4
Bonnie Raitt,Thing Called Love,2018-12-07 19:48:00,T,Thing,4,1989,2016-12-14 21:22:00,T,4
Michael Penn,This And That,2018-12-07 20:14:00,T,This,4,1989,2016-12-14 22:14:00,T,3
The Smiths,This Charming Man,2018-12-07 20:22:00,T,This,3,1983,2016-12-14 22:17:00,T,3
Public Image Ltd.,This Is Not A Love Song,2018-12-07 20:40:00,T,This,5,1983,2016-12-14 22:36:00,T,5
Pat Metheny & David Bowie,This Is Not America,2018-12-07 20:46:00,T,This,6,1985,2016-12-14 22:41:00,T,4
Talking Heads,This Must Be The Place (Naive Melody),2018-12-07 21:13:00,T,This,5,1983,2016-12-14 23:01:00,T,5
Lyle Lovett,This Old Porch,2018-12-07 21:20:00,T,This,7,1986,2016-12-14 23:14:00,T,4
King Crimson,Three Of A Perfect Pair,2018-12-07 21:42:00,T,Three,4,1984,2016-12-15 00:03:00,T,4
Michael Jackson,Thriller,2018-12-07 21:46:00,T,Thriller,7,1982,2016-12-15 00:07:00,T,8
Stevie Ray Vaughan,Tight Rope,2018-12-07 22:19:00,T,Tight,4,1989,2016-12-15 00:38:00,T,5
Todd Rundgren,Time Heals,2018-12-07 23:01:00,T,Time,4,1981,2016-12-15 01:31:00,T,4
The Pretenders,Time The Avenger,2018-12-07 23:09:00,T,Time,5,1984,2016-12-15 02:09:00,T,5
The Blue Nile,Tinseltown In The Rain,2018-12-07 23:21:00,T,Tinseltown,7,1984,2016-12-15 02:37:00,T,6
Ziggy Marley,Tomorrow People,2018-12-08 00:00:00,T,Tomorrow,4,1988,2016-12-15 03:47:00,T,5
Suzanne Vega,Tom's Diner,2018-12-08 00:04:00,T,Tom's,2,1987,2016-12-15 03:52:00,T,3
The Police,Too Much Information,2018-12-08 00:56:00,T,Too,4,1981,2016-12-15 04:35:00,T,5
Kajagoogoo,Too Shy,2018-12-08 01:00:00,T,Too,4,1983,2016-12-15 05:00:00,T,3
