Artist,Title,Year
RedBird,Lovely As the Day is Long,2003
Jane Ira Bloom,Light Years Away,1988
Claudia Schmidt,Sometime Ago,2014
Sandy Denny,No End,1974
RoseWynde,Day By Day,2004
Kevin Hearn & Thin Buckle,Time Machine,2003
Jack Bruce,Time Repairs,1995
Ray Lynch,"Evenings, Yes",1989
Keren Ann,Where no endings end,2007
"Harry Connick, Jr.",It's Time,1991
The New Gary Burton Quartet,Was It So Long Ago,2011
Damien Jurado,Queen Anne,2016
Susan McKeown,In a Dark Time,2010
Romero Lubambo,In the Wee Small Hours of the Morning,2006
Alexis Taylor,Just for a Little While,2016
The Poozies,Another Train,1994
Kathryn Kaye,Time Moving Slowly,2010
Bob Weir,Looks Like Rain,2004
Bob Dylan,Knockin' On Heaven's Door,1973
Stereo MC's,Fever,1992
Erykah Badu,Honey,2008
UB40,One In Ten,1981
Michael Hall,Trampled Underfoot,1993
Los Lobos,Life Is Good,1996
The Afghan Whigs,Come See About Me,1992
Steely Dan,Kings,1972
Jimi Hendrix,Voodoo Child (slight Return),1989
Spiritualized,Ladies And Gentlemen We Are Floating In Space,1997
Monster Magnet,Space Lord,1998
Steve Miller Band,Space Cowboy,1969
Thievery Corporation,Lebanese Blonde,1998
Chet Faker,Talk is Cheap,2014
Tad,3-D Witch Hunt,1991
Kate Bush,Sat In Your Lap,1981
John Prine,Hello In There,1971
Bob Dylan,If You See Her Say Hello,1975
Alice Cooper,Hello Hooray,1973
Brian Eno,1/1,1978
The Dukes Of Stratosphear,25 O'clock,1985
Nine Inch Nails,Head Like A Hole,1989
King Crimson,Discipline,1981
PJ Harvey,Happy And Bleeding,1992
The Roots,Good Music,1993
D'Angelo,Chicken Grease,2000
Black Joe Lewis & The Honeybears,I'm Broke,2009
King Khan and the Shrines,Welfare Bread,2007
FLYING LIZARDS,SEX MACHINE,1984
Sparks,Angst In My Pants,1982
Count Basie,Jumpin At The Woodside,1987
Donna Summer,I Feel Love,1977
Led Zeppelin,Babe I'm Gonna Leave You,1969
Patti Smith,Birdland,1975
Teenage Fanclub,Everything Flows,1990
The Clash,Revolution Rock,1979
John Cale,Mercenaries (Ready For War),1979
Electric Light Orchestra,Nightrider,1975
The Undertones,It's Going To Happen!,1981
Tall Dwarfs,Nothing's Going To Happen,1981
T Rex,Rip Off,1971
The Animals,Cheating,1966
Elton John,Holiday Inn,1971
Neil Young & Crazy Horse,Ramada Inn,2012
Kraftwerk,Trans-Europe Express,1977
Battles,Ice Cream,2011
X,White Girl,1980
Parquet Courts,"One Man, No City",2016
Be Bop Deluxe,Life In The Air Age,1976
The Notwist,Kong,2014
Roses,Accessory,2016
Cloud Nothings,Modern Act,2017
Gauntlet Hair,Bad Apple,2013
Dirty Projectors,Keep Your Name,2016
tUnE-yArDs,Powa,2011
The Radio Dept.,Occupied,2015
The Radio Dept.,We Got Game,2016
Descendents,Clean Sheets,1987
Priests,JJ,2017
DIIV,Bent (Roi's Song),2016
Corinne Bailey Rae,Is This Love?,2011
Kate & Anna McGarrigle,Love Is,1990
Sweet Honey in the Rock,Ella's Song,1983
Ottmar Liebert,Reaching Out 2 U,1992
Steve Young,Love In My Time,1969
Bob Dylan,Country Pie,1969
Madisen Ward And The Mama Bear,Live By The Water,2015
Possessed By Paul James,Ferris Wheel,2008
Ry Cooder,John Lee Hooker for President,2011
Charlie Poole & The North Carolina Ramblers,White House Blues,1952
Willie Watson,Kitty Puss,2014
Phil Ochs,Days of Decision,1965
Blaze Foley,Election Day,1999
Dan Bern,Waffle House,2013
The Byrds,I Wanna Grow Up To Be A Politician,1971
Lucinda Williams,Greenville,1998
Richard Thompson,Dimming Of The Day,1990
Olu Dara,Harlem Country Girl,1998
Nico,Wrap Your Troubles in Dreams,1966
Reverend Gary Davis,I Will Do My Last Singing In This Land Somewhere,2001
The Siegel-Schwall Band,Corrina,1999
Robert Johnson,Sweet Home Chicago,1936
Steve Goodman,A Dying Cub Fan's Last Request,1983
Monster Rally,Gold,2012
Chad VanGaalen,Viking Rainbow,2006
Uncle Tupelo,Sandusky,1992
Wilco,You Never Know,2009
Ryley Walker,The Roundabout,2016
The Iguanas,Oye Isabel,1994
The Clash,Rock The Casbah,1982
Devo,Jerkin' Back 'N' Forth,1981
The Who,Substitute,1968
Jagwar Ma,O B 1,2016
The Killers,When You Were Young,2006
John Lennon,Instant Karma!,1970
Liz Phair,Never Said,1993
Father John Misty,I'm Writing a Novel,2012
Diana Ross,Love Hangover,1976
Bob Dylan,Like A Rolling Stone,1965
David Bowie,Rebel Rebel,1974
Animal Collective,My Girls,2009
Suzanne Vega,Frank & Ava,2007
Michael Kiwanuka,Tell Me A Tale,2011
The Searchers,Love Potion Number Nine,1963
Electric Light Orchestra,Turn To Stone,1977
Best Coast,Boyfriend,2010
Rockpile,When I Write The Book,1980
The Byrds,You Ain't Going Nowhere,1968
Pete Yorn,For Nancy,2001
Tom Petty,Don't Come Around Here No More,1985
Lucius,Turn It Around,2012
Spoon,Rent I Pay,2014
Beck,Nausea,2006
Dr. John,Right Place Wrong Time,1973
Bob Dylan,"It's Alright, Ma (I'm Only Bleeding)",1965
George Harrison,All Things Must Pass,1970
Angel Olsen,Those Were the Days,2016
Jim James,The World's Smiling Now,2016
Frank Sinatra,In the Wee Small Hours of the Morning,1955
Kurt Vile,Too Hard,2013
Nancy Sinatra,By the Way (I Still Love You),1967
Hope Sandoval & The Warm Inventions,The Peasant,2016
Shirley Collins,Pretty Polly,2016
David Bowie,When I Live My Dream,1967
Seu Jorge,Lady Stardust,2005
The Band,When You Awake,1969
Dawn Landes,Try to Make a Fire Burn AGain,2014
Chris Cohen,Sun Has Gone Away,2016
Joni Mitchell,Coyote,1976
Weyes Blood,Generation Why,2016
Bonnie Raitt,You've Changed My Mind,2016
Bob Dylan,Gates of Eden,1965
The Rolling Stones,No Expectations,1968
Chris Smither,Lonesome Georgia Brown,1972
Kadhja Bonet,Nobody Other,2016
Astrud Gilberto,Dindi,1965
Tim Buckley,Once I Was,1967
Jeff Buckley,Lilac Wine,1994
Shawn Colvin,I Used to Be a King,2015
David Crosby,Things We Do For Love,2016
"Crosby, Stills & Nash",Guinevere,2012
Smog,To Be of Use,1997
Bill Fay,Tell It Like It Is,1971
Richard Hawley,Last Orders,2005
Leonard Cohen,Take This Longing,1974
George Benson,Ode To A Kudu,1971
Van Morrison,Wild Children,1973
John Hartford,Because Of You,1971
Glen Campbell,Gentle On My Mind,1967
Jimmy Webb,Galveston,1972
JD Souther,Need Somebody,2015
Kurt Elling,Never My Love,2003
Fleet Foxes,Tiger Mountain Peasant Song,2008
The Staves,Sadness Don't Own Me,2015
Joseph,More Alive Than Dead,2016
John Denver,"Poems, Prayers & Promises",1971
Neil Young,Down By The River,1969
Dawn Landes,Diamond Rivers,2014
Norah Jones,And Then There Was You,2016
Waylon Jennings,Dreaming My Dreams (With You),1975
Dolly Parton,Coat Of Many Colors,1971
Tim Buckley,The River,1969
Ray Lamontagne,All The Wild Horses,2004
Larry Coryell,Something,1993
The Enid,Reverberations,1993
Forma,Collapse of Materialists 2,2016
loscil,Weeds,2016
Spyra,Dusk,2014
Steve Hauschildt,Time We Have,2016
Redshift,Slam,2015
Cosmic Ground,Keep Us In Space,2016
The 8th Day,She's Not Just Another Woman,1971
Conor Oberst,Mamah Borthwick (A Sketch),2016
Kadhja Bonet,Honeycomb,2015
Fantastic Negrito,In The Pines,2016
Lee Fields and The Expressions,Make This World,2016
Lower Dens,Real Thing,2016
Matt Pond Pa,Whoa,2016
The Shacks,Strange Boy,2016
Neil Young,Peace Trail,2016
Sylvan Esso,Radio,2014
Nicole Atkins,A Little Crazy,2016
The Cranberries,Ode To My Family,1994
Shelby Lynne,Killin' Kind,2001
Fleetwood Mac,Dreams,1977
Roy Orbison,In Dreams,1987
Frank Zappa,Cosmik Debris,1974
Tom Waits,Step Right Up,1976
David Bowie,Prettiest Star,1970
Cheap Trick,Downed,1977
Supertramp,Take The Long Way Home,1979
Foo Fighters,Everlong,1997
Scott Fagan,In My Head,2015
Michael Kiwanuka,Love & Hate,2016
The Allman Brothers,Whipping Post,1971
Van Halen,Jump,1983
Meat Puppets,Backwater,1994
The National,Mistaken For Strangers,2007
The Kinks,Where Have All The Good Times Gone,1965
The English Beat,Twist & Crawl,1980
Steely Dan,Don't Take Me Alive,1976
Blondie,Rapture,1980
The Beatles,I'm Only Sleeping,1966
Cowboy Junkies,Sweet Jane,1988
REO Speedwagon,Roll With The Changes,1978
The Jayhawks,I'd Run Away,1995
The Damned,Neat Neat Neat,1977
U2,I Will Follow,1980
Alice In Chains,Heaven Beside You,1995
The White Stripes,We're Going To Be Friends,2001
Dave Matthews Band,Ants Marching,1993
Jethro Tull,Cross-eyed Mary,1971
John Butler Trio,Zebra,2003
Black Rebel Motorcycle Club,Ain't No Easy Way,2005
Oasis,Wonderwall,1996
Joni Mitchell,Refuge Of The Roads,1976
Joni Mitchell,Cold Blue Steel And Sweet Fire,1972
Joni Mitchell,Carey,1971
Joni Mitchell,Off Night Backstreet,1977
Joni Mitchell,Conversation,1970
Joni Mitchell,Free Man In Paris,1974
Joni Mitchell,Court & Spark,1974
Indigo Girls,Get Out The Map,1997
Lenny Kravitz,Believe,1993
Bruce Springsteen,We Take Care Of Our Own,2012
Phoenix,Entertainment,2013
Renaissance,Prologue,1972
Renaissance,Carpet Of The Sun,1973
Guster,Fa Fa,1999
ABC,Poison Arrow,1982
ZZ Top,Jesus Just Left Chicago,1973
Los Lobos,I Got Loaded,1984
The Fabulous Thunderbirds,Wrap It Up,1986
Bob Marley & The Wailers,Three Little Birds,1977
Pink Floyd,Comfortably Numb,1979
Pat Benatar,You Better Run,1980
Joe Walsh,Welcome To The Club,1974
Fruit Bats,Humbug Mountain Song,2016
Pearl Jam,Jeremy,1991
Courtney Barnett,Dead Fox,2015
Eric Clapton,Mainline Florida,1974
Bell X1,The Great Defector,2009
The Smithereens,Only A Memory,1988
Elvin Bishop,Struttin' My Stuff,1975
Rusted Root,Send Me On My Way,1992
The Black Crowes,Descending,1994
Bill Withers,Grandma's Hands,1971
Ray Lamontagne,Trouble,2004
Norah Jones,Thinking About You,2006
Radiohead,Thinking About You,1992
The Smiths,There Is A Light That Never Goes Out,1986
Peter Paul & Mary,Leaving On A Jet Plane,1967
Steve Earle,Guitar Town,1986
Elton John,Take Me To The Pilot,1970
They Might Be Giants,Birdhouse In Your Soul,1990
Seu Jorge,Rebel Rebel,2004
Gloria Gaynor,I Will Survive,1977
Cowboy Mouth,Jenny Says,1996
Paul Simon,Graceland,1986
The Temptations,"Runaway Child, Running Wild",1969
The National,Lit Up,2003
Led Zeppelin,Dancing Days,1973
Melody Gardot,Who Will Comfort Me,2009
The Specials,Enjoy Yourself,1980
Kate Bush,Running Up That Hill,1990
The Kinks,Destroyer,1981
Lord Huron,Fool For Love,2015
The Cure,Pictures Of You,1989
Buena Vista Social Club,Dos Gardenias,1997
The Polyphonic Spree,Light And Day/reach For The Sun,2002
Rickie Lee Jones,It Must Be Love,1984
Robin Trower,Day Of The Eagle,1974
Dixie Chicks,Landslide,2002
Robert Randolph & The Family Band,Soul Refreshing,2003
Matthew Sweet,Girlfriend,1991
Humble Pie,Shine On,1971
The Fixx,One Thing Leads To Another,1982
The Staple Singers,If You're Ready (Come Go With Me),1973
Fly Golden Eagle,Tangible Intangible,2014
Graham Parker,Discovering Japan,1979
'Til Tuesday,Voices Carry,1985
Lou Reed,Perfect Day,1972
Rosanne Cash,Black Cadillac,2006
Beirut,No No No,2015
Richard Thompson,When The Spell Is Broken,1985
The Beatles,What Goes On,1965
The Mavericks,Dance The Night Away,1998
Tedeschi Trucks Band,Don't Know What It Means,2016
Edgar Winter,Keep Playin That Rock N Roll,1989
John Mayer,Waiting On The World To Change,2006
Steve Winwood,Higher Love,1986
Tim Curry,I Do The Rock,1979
Love And Rockets,So Alive,1989
David Lindley,Pay The Man,1981
K. T. Tunstall,Hold On,2007
The Pogues,Honky Tonk Woman,1988
Lissie,Little Lovin',2009
Sarah McLachlan,Sweet Surrender,1997
Elvis Costello,Alison,1977
The Plimsouls,A Million Miles Away,1983
John Hiatt,Perfectly Good Guitar,1993
Jefferson Airplane,Embryonic Journey,1967
The Heptones,Book Of Rules,1973
Rhett Miller,Our Love,2002
Talking Heads,Road to Nowhere,1985
Tyrone Davis,Turn Back The Hands Of Time,1970
Son Volt,Driving The View,1998
The Pixies,Where Is My Mind?,1988
Jesse Winchester,Rhumba Man,1977
Lyle Lovett,That's Right (you're Not From Texas),1996
Balance and Composure,Call It Losing Touch,2016
Mountain,Never In My Life,1970
Johnny Nash,I Can See Clearly Now,1972
Nirvana,Lake Of Fire,1993
Tracy Chapman,She's Got Her Ticket,1988
Matisyahu,King Without A Crown,2004
Big Brother & The Holding Company,Piece Of My Heart,1990
Natalie MacMaster,Matt & Nat's,2006
Sheer Mag,Can't Stop Fighting,2016
Screaming Females,Criminal Image,2015
The Roots,My Shot (Rise Up Remix),2016
The War On Drugs,Under the Pressure,2014
Dave Hause,The Shine,2013
Andrea Nardello,Fire,2016
Todd Rundgren,"The Verb ""To Love""",1978
Keb' Mo',A Brand New America,2009
Key Wilde & Mr. Clarke,King Of The Town,2013
Jonathan Sprout,Carry On,2000
Mood Swings,State Of Independence,2002
Paula Cole,Where Have All The Cowboys Gone,1996
Gotye,Somebody That I Used to Know,2011
Led Zeppelin,Four Sticks,1971
Led Zeppelin,Misty Mountain Hop,1971
Led Zeppelin,Black Dog,1971
Led Zeppelin,When The Levee Breaks,1971
Soggy Bottom Boys,I Am A Man Of Constant Sorrow,2000
Guided By Voices,Kid On A Ladder,2016
Charles Mingus,Boogie Stop Shuffle,1959
Urge Overkill,Sister Havana,1993
Pearl Jam,Evenflow,2003
Widespread Panic,Pickin' Up The Pieces,1993
The Jesus And Mary Chain,Just Like Honey,1985
Rank & File,The Conductor Wore Black,1982
The Isley Brothers,Work To Do,1972
Redd Kross,Peach Kelli Pop,1987
R. E. M.,Superman,1986
Neil Young,Sedan Delivery,1979
Psychedelic Furs,Love My Way,1982
Slow Children,President Am I,1981
The Replacements,Election Day,1997
Canned Heat,On The Road Again,1968
Eastmountainsouth,Rain Come Down,2003
Eric Clapton,Steady Rollin' Man,1974
Calexico,Alone Again Or,2003
Otis Redding,I Can't Turn You Loose,1965
Bob Mould,See A Little Light,1989
Cliff Eberhardt,The Long Road,2009
Dave Matthews Band,Mercy,2012
Utopia,Love Is The Answer,1977
The Pretenders,I'll Stand by You,1994
Marc Broussard,Yes We Can,2007
Ingrid Michaelson,Be OK,2008
John Lennon,Stand By Me,1975
Carole King,Beautiful,1971
Mavis Staples,Have A Little Faith,2004
Bill Withers,Lean On Me,1972
Sly & The Family Stone,M'lady,1968
Modest Mouse,Dashboard,2007
Bonnie Raitt,Angel From Montgomery,1974
Bonnie Raitt,Too Long At The Fair,1972
Bonnie Raitt,Blender Blues,2010
Bonnie Raitt,Luck Of The Draw,1991
Garland Jeffreys,R.o.c.k.,1981
Duran Duran,Hungry Like The Wolf,1982
Belly,Gepetto,1992
Bruce Hornsby & The Range,Every Little Kiss,1986
Elvis Costello,"(What's So Funny 'bout) Peace, Love & Understanding",1979
Regina Spektor,Bleeding Heart,2016
Gary Jules,Mad World,2001
Richie Havens,Hurricane Waters,2008
Yes,America,1972
Asgeir,King and Cross,2013
Jack Johnson,Wasting Time,2003
Duffy,Mercy,2007
Coldplay,Clocks,2002
Jerry Garcia,Cats Under The Stars,1978
Roy Orbison,It's Over,1964
Sam Cooke,A Change Is Gonna Come,1964
Janelle Monae,Mr. President,2008
Re-Flex,The Politics Of Dancing,1984
Cream,Politician,1968
Deee-Lite,"Vote, Baby, Vote",1992
Devo,Freedom Of Choice,1980
James Brown,"Get Up, Get Into It, And Get Involved",1986
Bob Marley & The Wailers,"Get Up, Stand Up",1973
Alice Cooper,Elected,1973
Chris Stamey with Yo La Tengo,V.O.T.E. (Public Service Announcement),2005
Radiohead,Electioneering,1997
Ella Fitzgerald with Chick Webb,Vote for Mr. Rhythm,1990
Chicago,Vote for Me,1977
Lyle Lovett,Election Day,2003
Donavon Frankenreiter,Free,2004
Lou Reed,Vicious,1972
Rickie Lee Jones,Chuck E's In Love,1994
My Morning Jacket,Big Decisions,2015
Jackson Browne,Something Fine,1972
Ultravox,Reap The Wild Wind,1982
Gary Numan,Cars,1979
Lucinda Williams,I Just Wanted To See You So Bad,1988
The Beatles,Norwegian Wood (This Bird Has Flown),1965
White Denim,Ha Ha Ha Ha (Yeah),2016
The Breeders,Cannonball,1993
Public Access T.V.,End of an Era,2016
Animal Liberation Orchestra,The Ticket,2015
Houndmouth,Sedona,2015
The Ting Tings,That's Not My Name,2007
Chicago Transit Authority,Questions 67 & 68,1969
The Seeds,Pushin' Too Hard,1965
Ryan Adams,New York New York,2001
Duncan Sheik,Barely Breathing,1996
The Who,Another Tricky Day,1981
Arcade Fire,Neighborhood #3 (power Out),2004
Neil Finn,Sinner,1998
The Velvet Underground & Nico,I'm Waiting For The Man,1967
Alvin Cash And The Crawlers,Twine Time,1963
Punch Brothers,I Blew It Off,2015
Stephen Stills,Change Partners,1971
Dave Matthews Band,The Best Of What's Around,1993
Clap Your Hands Say Yeah,Over And Over Again (lost And Found),2005
Brett Dennen,Wild Child,2013
John Coltrane,Giant Steps,1959
John Legend,Ordinary People,2004
R. E. M.,It's The End Of The World As We Know It (And I Feel Fine),1987
The Black Keys,Girl Is On My Mind,2004
Santana,Oye Como Va,1970
Wilco,Random Name Generator,2015
Randy Newman,You Can Leave Your Hat On,1972
Tom Waits,Ol '55,1973
Michael Hedges,The 2nd Law,1996
Jeff Beck,She's A Woman,1975
Fiona Apple,Criminal,1996
TV On The Radio,Crying,2008
Ryan Adams,My Winding Wheel,2000
Wilco,A Shot In The Arm,1999
Joe Jackson,You Can't Get What You Want,1984
Lee Michaels,Do You Know What I Mean,1971
Nick Lowe,Cruel To Be Kind,1978
Bjork,Human Behavior,1996
Citizen Cope,Bullet And A Target,2004
Edward Sharpe & The Magnetic Zeros,Better Days,2013
R. E. M.,Talk About the Passion,1983
Aaron Neville,Hercules,1987
Okkervil River,Down Down The Deep River,2013
Keb' Mo',America The Beautiful,2001
Zee Avi,Rainbow Connection,2014
They Might Be Giants,Bed Bed Bed,2002
Steely Dan,Black Friday,1975
Blur,Song 2,1997
The Pipkins,Gimme Dat Ding,1970
T Rex,20th Century Boy,1973
Bob Seger & The Silver Bullet Band,The Fire Down Below,1976
Bob Seger & The Silver Bullet Band,Feel Like A Number,1978
U2,Bullet The Blue Sky,1987
Depeche Mode,Personal Jesus,1989
The Beatles,It's All Too Much,1969
AC/DC,It's A Long Way To The Top (If You Wanna Rock 'n' Roll),1975
Jackson 5,The Love You Save,1970
Dire Straits,Industrial Disease,1982
Radiohead,Creep,1992
The Smiths,How Soon Is Now,1985
Starship,We Built This City,1985
Lou Reed,Sweet Jane,1974
Bruce Springsteen,Meeting Across The River,1975
Roxy Music,Avalon,1983
Cat Stevens,Peace Train,1971
St. Germain,Rose Rouge,2000
Stevie Wonder,Another Star,1976
Milky Chance,Stolen Dance,2013
Givers,Up Up Up,2009
Toad The Wet Sprocket,Walk On The Ocean,1991
Bruce Cockburn,A Dream Like Mine,1991
Otis Redding,I've Got Dreams To Remember,1968
Eurythmics,Sweet Dreams (Are Made Of This),1983
The Allman Brothers,Dreams,1975
Todd Rundgren,A Dream Goes On Forever,1974
Coldplay,A Head Full Of Dreams,2015
Bodeans,Dreams,1987
Brandi Carlile,Dreams,2009
John Lennon,#9 Dream,1974
David Byrne,Like Humans Do,2001
Joe Cocker,Feelin' Alright,1970
Portishead,Wandering Star,1994
The Undisputed Truth,Smiling Faces Sometimes,1971
Genesis,Afterglow,1976
U2,Walk On,2000
Four Tops,"I Can't Help Myself (sugar Pie, Honey Bunch)",1974
The Subdudes,All The Time In The World,1996
The Hold Steady,Stay Positive,2008
Warren Zevon,Keep Me In Your Heart,2003
The Beatles,We Can Work It Out,1965
Keb' Mo',Let Your Light Shine,2004
David Gray,Shine,1993
Anna Nalick,Breathe (2 A.M.),2005
The Rolling Stones,You Can't Always Get What You Want,1969
David Bowie,Life On Mars?,1971
Alejandro Escovedo,Always A Friend,2008
Joe Cocker,With A Little Help From My Friends,1970
Diane Coffee,Mayflower,2015
Richard Thompson,Beeswing,1994
Bob Dylan,The Times They Are A-Changin',1964
Stevie Wonder,Love's In Need of Love Today,1976
Bruce Springsteen,My Hometown,1984
John Lennon,Give Peace A Chance,1969
John Lennon,Imagine,1975
The Beatles,"Ob-La-Di, Ob-La-Da",1968
The Beatles,All You Need Is Love,1967
Grateful Dead,Touch Of Grey,1987
Tori Amos,Cornflake Girl,1994
Jackson Browne,For Everyman,1973
Stevie Wonder,Don't You Worry Bout A Thing,1973
The Flaming Lips,Do You Realize?,2002
Shawn Mullins,Lullaby,1998
The Clash,Lost In The Supermarket,1979
Raphael Saadiq,100 Yard Dash,2008
Foster The People,Don't Stop (Color On The Walls),2011
Guillemots,Trains To Brazil,2005
Michael Franti & Spearhead,Everyone Deserves Music,2003
T Rex,Telegram Sam,1973
The Black Keys,Fever,2013
Allen Toussaint,Southern Nights,1975
Feist,Mushaboom,2003
Jane's Addiction,Jane Says,1987
Sly & The Family Stone,You Can Make It If You Try,1969
The Thompson Twins,Hold Me Now,1984
Bobby Byrd,I Know You Got Soul,1971
The Doors,Love Her Madly,1971
David Gilmour,There's No Way Out Of Here,1978
Billy Bragg,Upfield,1996
Stevie Wonder,Master Blaster (Jammin'),1980
The O'Jays,I Love Music,1975
Michael Penn,No Myth,1989
The Cranberries,Zombie,1994
Violent Femmes,Kiss Off,1982
Bob Marley & The Wailers,Jamming,1977
Jeb Loy Nichols,Heaven Right Here,2000
David Gray,Sail Away,1998
Donovan,The Hurdy Gurdy Man,1968
Marshall Crenshaw,You're My Favorite Waste Of Time,1982
Elmore James,The Sky Is Crying,1960
Leonard Cohen,Hallelujah,1984
Leonard Cohen,A Singer Must Die,1974
Leonard Cohen,"Hey, That's No Way To Say Goodbye",1967
Leonard Cohen,Slow,2014
Leonard Cohen,I'm Your Man,1988
Leonard Cohen,Democracy,1992
Leonard Cohen,Lover Lover Lover,1974
Leonard Cohen,Sisters Of Mercy,1967
Leonard Cohen,Tower of Song,1988
Leonard Cohen,Chelsea Hotel No. 2,1974
Leonard Cohen,Almost Like The Blues,2014
Leonard Cohen,Famous Blue Raincoat,1970
Leonard Cohen,Who By Fire,1974
Leonard Cohen,Suzanne,1967
Leonard Cohen,Bird On A Wire,1969
Leonard Cohen,First We Take Manhattan,1988
Leonard Cohen,Closing Time,1992
Leonard Cohen,"So Long, Marianne",1967
Son Volt,Tear Stained Eye,1995
U2,Two Hearts Beat As One,1983
Travis,Why Does It Always Rain On Me,1999
Iron And Wine,Boy With A Coin,2007
Delta Rae,Bottom of the River,2011
Gin Blossoms,Allison Road,1991
Stan Ridgway,Drive She Said,1985
The Decemberists,Down By The Water,2010
Patti Smith,People Have The Power,1988
Weird Al Yankovic,I Think I'm A Clone Now,1988
Hayley Mills,Let's Get Together,1992
Duke Otherwise,Nose & Ears,2015
Oasis,Rock N Roll Star,1994
New Radicals,Mother We Just Can't Get Enough,1998
T-Bone Burnett,Humans From Earth,1991
Dead Boys,Hey Little Girl,1977
The Dickies,Nights In White Satin,1979
Ian Dury & The Blockheads,Clever Trever,2001
Bruce Springsteen,Darkness On The Edge Of Town,1986
The Blasters,Dark Night,1991
Alvvays,"Archie, Marry Me",2014
Stevie Wonder,If You Really Love Me,1971
Herb Alpert & The Tijuana Brass,A Taste of Honey,1965
Big Dipper,Ron Klaus Wrecked His House,1988
Volcano Suns,Jak,1985
The Black Crowes,Remedy,1992
The Everly Brothers,Cathy's Clown,1960
Marah,Poor People,2005
The Proclaimers,I'm Gonna Be (500 Miles),1987
Arcade Fire,Keep The Car Running,2007
Jethro Tull,Mother Goose,1971
Grateful Dead,Cumberland Blues,1970
Husker Du,Hate Paper Doll,1985
Bonnie Raitt,Good Enough,1975
Smashing Pumpkins,Drown,1992
Bruce Springsteen,Badlands,1986
Del Amitri,Not Where It's At,1997
Dr. Dog,Broken Heart,2013
Grace Potter And The Nocturnals,Never Go Back,2012
New Order,Temptation,1982
Shirley & Company,"Shame, Shame, Shame",1975
Sam Phillips,Zero Zero Zero!,1996
The Iguanas,Boom Boom Boom,1994
Dave Edmunds,Down Down Down,1972
Johnny Cash,"Cry, Cry, Cry",1986
Nicole Atkins,Cry Cry Cry,2011
Of Monsters And Men,Love Love Love,2011
The Byrds,Turn! Turn! Turn!,1967
Gorillaz,On Melancholy Hill,2010
Electric Light Orchestra,Can't Get It Out Of My Head,1985
The Cure,Just Like Heaven,1987
Margo Price,Hands of Time,2016
Margo Price,Hurtin' (On The Bottle),2015
Big Star,Kizza Me,1978
Counting Crows,Scarecrow,2014
Grateful Dead,Franklin's Tower,1975
John Mayer,Shadow Days,2012
Curtis Mayfield,Get Down,1971
The Band,King Harvest,1969
Robbie Robertson,Broken Arrow,1987
Carly Simon,You're So Vain,1988
Pet Shop Boys,West End Girls,1986
Kurt Vile,Pretty Pimpin',2015
Little Feat,Time Loves A Hero,1977
Hurray For The Riff Raff,I Know It's Wrong (But That's Alright),2013
Booker T. & The MG's,Hip Hug-Her,1967
Blind Melon,No Rain,1992
Fionn Regan,Put A Penny In The Slot,2006
Hall & Oates,I Can't Go For That,1985
Nada Surf,Always Love,2005
Eric Clapton,Gotta Get Over,2013
Sade,Soldier Of Love,2010
G Love & Special Sauce,"Peace, Love & Happiness",2008
Phish,Miss You,2016
Alabama Shakes,Don't Wanna Fight,2015
Pete Townshend,Rough Boys,1980
Emerson Lake & Palmer,From The Beginning,1972
Cake,Never There,1998
John Hiatt,When We Ran,1985
Beck,Wow,2016
The Cranberries,Linger,1993
Josh Ritter,Change Of Time,2010
Lianne La Havas,What You Don't Do,2015
Digable Planets,Rebirth Of Slick (cool Like Dat),1992
Jamie Lidell,Walk Right Back,2016
The Supremes,Love Is Like An Itching In My Heart,1966
Television,Glory,1978
The Raconteurs,Steady As She Goes,2006
Sister Sparrow & The Dirty Birds,Mama Knows,2015
The Wood Brothers,Singin' To Strangers,2015
Todd Rundgren,Sometimes I Don't Know What To Feel,1973
Pete Yorn,Lost Weekend,2016
Desmond Dekker,Israelites,1969
Moby,South Side,1999
The Jimi Hendrix Experience,Wait Until Tomorrow,1967
The Killers,Runaways,2012
INXS,Original Sin,1983
Karl Denson's Tiny Universe,Because Of Her Beauty,2002
Ray Charles,Hallelujah I Love Her So,1957
Talking Heads,I Zimbra,1979
Bob Dylan,If Not For You,1970
Ben Harper & The Innocent Criminals,Steal My Kisses,1999
Prince & The Revolution,Pop Life,1985
Cee Lo Green,Forget You,2010
Neil Young,The Loner,1968
Jack Johnson,Breakdown,2004
B-52's,Love Shack,1989
Man Man,Head On,2013
John Mayall,California,1969
Jackson Browne,Here Come Those Tears Again,1976
Boz Scaggs,Some Change,1994
The Left Banke,Pretty Ballerina,1966
New Order,Bizarre Love Triangle,1986
Macy Gray,I Try,1999
The Beatles,Rain,1966
Indigo Girls,Shame On You,1997
Brooks Williams,Only For A Moment,2000
Kaki King,Carmine St.,2002
Honeyblood,Ready For The Magic,2016
Helado Negro,Lengua Larga,2016
Islands,Wave Forms,2013
Grandaddy,Way We Won't,2016
Eleanor Friedberger,False Alphabet City,2015
Hand Habits,All The While,2017
Sleigh Bells,I Can't Stand You Anymore,2016
The Electric Eels,Agitated,1978
Temples,Certainty,2016
Martin Courtney,Asleep,2015
La Sera,I Really Need An Angel,2016
LCD Soundsystem,Dance Yrself Clean,2010
R. E. M.,What's The Frequency Kenneth?,1994
Nick Cave & The Bad Seeds,Red Right Hand,1994
